"290","āhūg"
"291","ahunawar"
"292","ahunsand"
"293","ahunsandīh"
"294","ahy"
"295","ajgahān"
"296","ajgahānīh"
"297","ak"
"298","#NAME?"
"299","akāmagōmand"
"300","akanārag"
"301","akanāragīh"
"302","akard"
"303","Akōman"
"304","akōmand"
"305","alā"
"306","alālag"
"307","ālāy-"
"308","Aleksandar"
"309","almāst"
"310","ālūdag"
"311","ālūdagīh"
"312","ālūdan ālāy-"
"313","āluh"
"314","ālum"
"315","alum"
"316","abar āmadan"
"317","amā"
"318","āmadan āy-"
"319","amahraspand"
"320","amar"
"321","āmār"
"322","āmār-"
"323","amarag"
"324","amaragān"
"325","amaragānīg"
"326","amaragānīhā"
"327","amarg"
"328","āmārgar"
"329","amargīh"
"330","āmārišn"
"331","amāwand"
"332","amāwandīh"
"333","ambag"
"334","ambar"
"335","ambarag"
"336","amburdan"
"337","amenīdār"
"338","āmēxtan āmēz-"
"339","āmēzišn"
"340","āmiz"
"341","āmōxtan āmōz-"
"342","Amurdād"
"343","āmurzīdan āmurz-"
"344","āmurzišn"
"345","amwaštan"
"346","andar āmadan"
"347","ō gird āmadan"
"348","ō gird āmadan"
"349","ō gird āmadan kardan"
"350","ō gird āmadanīh"
"351","ul āmadan"
"352","an-"
"353","ān"
"354","#NAME?"
"355","ān ī"
"356","ānāb- ānābišn"
"357","anābādān"
"358","anabaxšāwand"
"359","anabaxšāwandīh"
"360","anabāy"
"361","anabēdān"
"362","anabēdanīh"
"363","ānābišn"
"364","anābuhlag"
"365","anabzār"
"366","anabzārīh"
"367","anādān"
"368","anādānīh"
"369","anādūg"
"370","anafsēnišn"
"371","ānāftan ānāb-"
"372","anāg"
"373","anāgāh"
"374","anāgīh"
"375","anāgkardār"
"376","anāgkunišn"
"377","anagr"
"378","anagrān"
"379","anagr rōšnīh"
"380","Anāhīd"
"381","anāhōg"
"382","anālūd"
"383","anāmcištīg"
"384","anāmurzīd"
"385","anāmurzišn"
"386","anār"
"387","anārgēl"
"388","anarzānīg"
"389","anast"
"390","ānāst"
"391","ānāstag"
"392","anāstawān"
"393","anāstawānīh"
"394","anastīh"
"395","ānāstīh"
"396","anāštīh"
"397","ānay"
"398","anayād"
"399","anāzarm"
"400","anāzarmīg"
"401","anāzarmīh"
"402","and"
"403","#NAME?"
"404","andāg"
"405","andāggēn"
"406","andak"
"407","andar"
"408","andar abāyēd"
"409","andar āmadan"
"410","andar āwurdan"
"411","andar budan"
"412","andar šudan"
"413","andar widardan"
"414","andarag"
"415","andarmāh"
"416","andarōn"
"417","andarwāy"
"418","andarwāyīg"
"419","andcand"
"420","andcand"
"421","andōh"
"422","andōhgēn"
"423","anēr"
"424","anērān"
"425","anērang"
"426","anērīh"
"427","anespās"
"428","anespāsīh"
"429","angubēn"
"430","angūr"
"431","angust"
"432","angustarīg"
"433","angustbān"
"434","ānīdan ānay-"
"435","anīg"
"436","anīz"
"437","anjīr"
"438","anōdag"
"439","anōdagīg"
"440","ānōh ānōy"
"441","anōš"
"442","anōš xwardan"
"443","anōšag"
"444","anōšagīh"
"445","anōšagruwān"
"446","anōšmar"
"447","anōst"
"448","anōšxwar"
"449","ānōy"
"450","anšahrīg"
"451","anummēd"
"452","anuspurrīg"
"453","any"
"454","magas ī angubēn"
"455","apattūg"
"456","apaymān"
"457","apaymānīh"
"458","apēdag"
"459","apēdagdār"
"460","apetītīg"
"461","apetītīgīh"
"462","apetyārag"
"463","apōhišn"
"464","appar"
"465","appār"
"466","apparag"
"467","appārīh"
"468","apparišn"
"469","appurdan appar-"
"470","apursišnīg"
"471","apus"
"472","ār-"
"473","āranj"
"474","arāst"
