"1","38.526400000000002","68.5381","Hisar","ḤiṣārHisor","9000"
"3","39.77691","64.41315","Bukhara","Bukhāra (city)","9001"
"9","41.266666999999998","69.216667000000001","Tashkent","Tashkent","9002"
"61","34.837499999999999","60.302222","Bakharz","Bākharz","9003"
"62","41.383333","60.366667","Khiva","Khīva","9004"
"114","39.466667000000001","75.983333000000002","Kashgar","Kashgar","9005"
"119","40.471111000000001","71.724722","Margilan","MargilanMarghilanMarginan","9006"
"1020","39.774549999999998","64.40558","","Madar-i Khan","9007"
"1021","39.774679999999996","64.405289999999994","","Abdallah Khan","9008"
"1001","39.77028","64.413330000000002","","Mulla Muhammad Sharif (Sangin)Ghaziyan","9009"
"1054","39.775378503688835","64.4153088960594","","Amir Alim Khan","9010"
"1055","39.775949518705218","64.415601256842024","","Mir-i Arab","9011"
"1078","39.772840000000002","64.414349999999999","","Abd al-Rashid Afghan","9012"
"1084","39.772249174826953","64.415861431116468","","Gawkushan Madrasa","9013"
"1098","39.773139999999998","64.421270000000007","","Madrasa Nadir Diwanbigi","9014"
"1100","39.773479999999999","64.421139999999994","","KukaltashQulbaba","9015"
"1127","39.77182","64.4288","","Khalifa HusaynHusayni Madrasa","9016"
"1203","39.768619999999999","64.400199999999998","","Khalifa Khudaydad","9017"
"1004","40.103009999999998","64.677570000000003","","Ulugh Beg Madrasa","9018"
"1029","39.766640000000002","64.403469999999999","","Juybar-i Kalan","9019"
"1018","39.775210000000001","64.406090000000006","","Asiri","9020"
"1134","39.774714718545937","64.427448574060804","","Khalifa NiazqulChahar Minar","9021"
"1082","39.77252","64.416740000000004","","A'lamAbd al-Rahman A'lam","9022"
"219","37.836388999999997","68.780277999999996","","Qurghan-TeppaQurghonteppaKurganteppa","9023"
"224","39.866667","79.066666999999995","","TumshuqTumxuk","9024"
"237","42.812480000000001","93.489435","","Qumul Wang Dynasty Tomb Complex","9025"
"239","42.936014","89.206295999999995","","Emin Minaret and Mosque","9026"
"240","41.719535999999998","82.952440999999993","","Mawlana Arsh al-Din MazarAshiddin Mazar","9027"
"242","39.471679999999999","75.990390000000005","","Sajiye Madrasa","9028"
"244","39.47043","75.988479999999996","","Id Kah MosqueEidgah Masjid","9029"
"245","39.490119999999997","76.023750000000007","","Afaq (Apaq) Khwaja MausoleumAbakh Khwaja Mazar","9030"
"246","38.415799999999997","77.254900000000006","","Altun MosqueAltyn MasjidAltunluq","9031"
"247","38.415570000000002","77.255170000000007","","Amanishahan Maosoleum","9032"
"249","38.416890000000002","77.255979999999994","","Yarkand Tomb of Qing Governor","9033"
"251","38.417230000000004","77.257180000000005","","Hazrat PirAstipir","9034"
"252","41.377738624661944","60.360925737448156","","Qutlugh Murad InaqQutlūgh Murād Ïnāq Madrasa","9035"
"255","41.379787463671306","60.360453668661535","","Hasan Murad Qushbegi Mosque","9036"
"256","41.379360795249696","60.360201541014135","","Musa Tura Madrassa","9037"
