"3","population","180000"
"47","population","150000"
"54","population","60000"
"55","population","80000"
"58","population","30200"
"46","population","70000"
"52","population","26000"
"51","population","4200"
"50","population","50400"
"111","population","3000"
"57","population","17000"
"21","population","35000"
"6272","population","7000"
"6273","population","9000"
