"1","38.526400000000002","68.5381"
"3","39.77691","64.41315"
"9","41.266666999999998","69.216667000000001"
"61","34.837499999999999","60.302222"
"62","41.383333","60.366667"
"114","39.466667000000001","75.983333000000002"
"119","40.471111000000001","71.724722"
"1020","39.774549999999998","64.40558"
"1021","39.774679999999996","64.405289999999994"
"1001","39.77028","64.413330000000002"
"1054","39.775378503688835","64.4153088960594"
"1055","39.775949518705218","64.415601256842024"
"1078","39.772840000000002","64.414349999999999"
"1084","39.772249174826953","64.415861431116468"
"1098","39.773139999999998","64.421270000000007"
"1100","39.773479999999999","64.421139999999994"
"1127","39.77182","64.4288"
"1203","39.768619999999999","64.400199999999998"
"1004","40.103009999999998","64.677570000000003"
"1029","39.766640000000002","64.403469999999999"
"1018","39.775210000000001","64.406090000000006"
"1134","39.774714718545937","64.427448574060804"
"1082","39.77252","64.416740000000004"
"219","37.836388999999997","68.780277999999996"
"224","39.866667","79.066666999999995"
"237","42.812480000000001","93.489435"
"239","42.936014","89.206295999999995"
"240","41.719535999999998","82.952440999999993"
"242","39.471679999999999","75.990390000000005"
"244","39.47043","75.988479999999996"
"245","39.490119999999997","76.023750000000007"
"246","38.415799999999997","77.254900000000006"
"247","38.415570000000002","77.255170000000007"
"249","38.416890000000002","77.255979999999994"
"251","38.417230000000004","77.257180000000005"
"252","41.377738624661944","60.360925737448156"
"255","41.379787463671306","60.360453668661535"
"256","41.379360795249696","60.360201541014135"
"257","41.378563803341919","60.359225216932714"
"258","41.378213606839402","60.360705796308935"
"259","41.377867433730827","60.359965506620824"
"260","41.379413122659557","60.355309191770971"
"261","41.379288341843505","60.355673972196996"
"262","41.376975828228794","60.35944247586292"
"263","41.379085069356258","60.357843879290044"
"264","41.379403059699392","60.358219388552129"
"265","41.376537065277802","60.359061602182805"
"266","41.376640000000002","60.359229999999997"
"268","41.37688","60.359690000000001"
"269","41.376849999999997","60.36027"
"270","41.377531322031061","60.359903815813482"
"271","41.378360000000001","60.360869999999998"
"272","41.379570000000001","60.364800000000002"
"273","39.778260328930585","64.402471843714125"
"274","39.774916740788811","64.412235084528334"
"289","39.774340000000002","64.334090000000003"
"290","39.775039999999997","64.423950000000005"
"291","39.77478","64.431460000000001"
"292","39.771610000000003","64.433369999999996"
